,sidx,idx_strs,pargp9,parval1_9,9
0,"(3, 0, 3, 46)",idx0:3_idx1:0_idx2:3_idx3:46,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
1,"(61, 0, 61, 46)",idx0:61_idx1:0_idx2:61_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
2,"(37, 0, 37, 46)",idx0:37_idx1:0_idx2:37_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
3,"(95, 0, 95, 46)",idx0:95_idx1:0_idx2:95_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
4,"(42, 0, 42, 46)",idx0:42_idx1:0_idx2:42_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
5,"(18, 0, 18, 46)",idx0:18_idx1:0_idx2:18_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
6,"(67, 0, 67, 46)",idx0:67_idx1:0_idx2:67_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
7,"(27, 0, 27, 46)",idx0:27_idx1:0_idx2:27_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
8,"(116, 0, 116, 46)",idx0:116_idx1:0_idx2:116_idx3:46,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
9,"(110, 0, 110, 46)",idx0:110_idx1:0_idx2:110_idx3:46,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
10,"(39, 0, 39, 46)",idx0:39_idx1:0_idx2:39_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
11,"(8, 0, 8, 46)",idx0:8_idx1:0_idx2:8_idx3:46,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
12,"(66, 0, 66, 46)",idx0:66_idx1:0_idx2:66_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
13,"(38, 0, 38, 46)",idx0:38_idx1:0_idx2:38_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
14,"(47, 0, 47, 46)",idx0:47_idx1:0_idx2:47_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
15,"(23, 0, 23, 46)",idx0:23_idx1:0_idx2:23_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
16,"(29, 0, 29, 46)",idx0:29_idx1:0_idx2:29_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
17,"(81, 0, 81, 46)",idx0:81_idx1:0_idx2:81_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
18,"(58, 0, 58, 46)",idx0:58_idx1:0_idx2:58_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
19,"(59, 0, 59, 46)",idx0:59_idx1:0_idx2:59_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
20,"(10, 0, 10, 46)",idx0:10_idx1:0_idx2:10_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
21,"(44, 0, 44, 46)",idx0:44_idx1:0_idx2:44_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
22,"(102, 0, 102, 46)",idx0:102_idx1:0_idx2:102_idx3:46,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
23,"(109, 0, 109, 46)",idx0:109_idx1:0_idx2:109_idx3:46,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
24,"(78, 0, 78, 46)",idx0:78_idx1:0_idx2:78_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
25,"(60, 0, 60, 46)",idx0:60_idx1:0_idx2:60_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
26,"(5, 0, 5, 46)",idx0:5_idx1:0_idx2:5_idx3:46,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
27,"(86, 0, 86, 46)",idx0:86_idx1:0_idx2:86_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
28,"(15, 0, 15, 46)",idx0:15_idx1:0_idx2:15_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
29,"(24, 0, 24, 46)",idx0:24_idx1:0_idx2:24_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
30,"(107, 0, 107, 46)",idx0:107_idx1:0_idx2:107_idx3:46,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
31,"(36, 0, 36, 46)",idx0:36_idx1:0_idx2:36_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
32,"(83, 0, 83, 46)",idx0:83_idx1:0_idx2:83_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
33,"(45, 0, 45, 46)",idx0:45_idx1:0_idx2:45_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
34,"(65, 0, 65, 46)",idx0:65_idx1:0_idx2:65_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
35,"(88, 0, 88, 46)",idx0:88_idx1:0_idx2:88_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
36,"(117, 0, 117, 46)",idx0:117_idx1:0_idx2:117_idx3:46,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
37,"(17, 0, 17, 46)",idx0:17_idx1:0_idx2:17_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
38,"(104, 0, 104, 46)",idx0:104_idx1:0_idx2:104_idx3:46,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
39,"(49, 0, 49, 46)",idx0:49_idx1:0_idx2:49_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
40,"(25, 0, 25, 46)",idx0:25_idx1:0_idx2:25_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
41,"(1, 0, 1, 46)",idx0:1_idx1:0_idx2:1_idx3:46,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
42,"(85, 0, 85, 46)",idx0:85_idx1:0_idx2:85_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
43,"(94, 0, 94, 46)",idx0:94_idx1:0_idx2:94_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
44,"(70, 0, 70, 46)",idx0:70_idx1:0_idx2:70_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
45,"(46, 0, 46, 46)",idx0:46_idx1:0_idx2:46_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
46,"(115, 0, 115, 46)",idx0:115_idx1:0_idx2:115_idx3:46,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
47,"(7, 0, 7, 46)",idx0:7_idx1:0_idx2:7_idx3:46,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
48,"(96, 0, 96, 46)",idx0:96_idx1:0_idx2:96_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
49,"(90, 0, 90, 46)",idx0:90_idx1:0_idx2:90_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
50,"(99, 0, 99, 46)",idx0:99_idx1:0_idx2:99_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
51,"(19, 0, 19, 46)",idx0:19_idx1:0_idx2:19_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
52,"(71, 0, 71, 46)",idx0:71_idx1:0_idx2:71_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
