time,HEADWATER,TAILWATER,GAGE_1
10000.00000000,-2014.4,-1739.2,4235.5
10001.00000000,-2004.8,-1729.6,4216.6
10002.00000000,-1996.6,-1721.8,4200.7
10003.00000000,-1989.1,-1714.7,4186.2
10004.00000000,-1982.2,-1708.1,4172.7
10005.00000000,-1975.6,-1701.9,4160.0
10006.00000000,-1969.4,-1696.2,4148.1
10007.00000000,-1963.5,-1690.7,4136.8
10008.00000000,-1957.9,-1685.6,4126.2
10009.00000000,-1952.7,-1680.8,4116.1
10010.00000000,-1947.7,-1676.3,4106.8
10011.00000000,-1943.1,-1672.1,4098.0
10012.00000000,-1938.7,-1668.2,4089.8
10013.00000000,-1934.7,-1664.6,4082.2
10014.00000000,-1930.9,-1661.3,4075.1
10015.00000000,-1927.4,-1658.2,4068.6
10016.00000000,-1924.2,-1655.4,4062.6
10017.00000000,-1921.3,-1653.0,4057.2
10018.00000000,-1918.6,-1650.7,4052.4
10019.00000000,-1916.3,-1648.8,4048.0
10020.00000000,-1914.2,-1647.1,4044.2
10021.00000000,-1912.3,-1645.6,4041.0
10022.00000000,-1910.8,-1644.4,4038.2
10023.00000000,-1909.4,-1643.5,4035.9
10024.00000000,-1908.4,-1642.8,4034.2
10025.00000000,-1907.6,-1642.3,4032.9
10026.00000000,-1907.0,-1642.1,4032.1
10027.00000000,-1906.7,-1642.1,4031.9
10028.00000000,-1906.7,-1642.4,4032.0
10029.00000000,-1906.9,-1642.9,4032.7
10030.00000000,-1907.4,-1643.6,4033.9
10031.00000000,-1908.1,-1644.6,4035.5
10032.00000000,-1909.0,-1645.7,4037.6
10033.00000000,-1910.2,-1647.1,4040.1
10034.00000000,-1911.6,-1648.7,4043.1
10035.00000000,-1913.2,-1650.6,4046.6
10036.00000000,-1915.1,-1652.6,4050.4
10037.00000000,-1917.2,-1654.8,4054.8
10038.00000000,-1919.5,-1657.3,4059.5
10039.00000000,-1922.1,-1659.9,4064.6
10040.00000000,-1924.8,-1662.7,4070.2
10041.00000000,-1927.8,-1665.8,4076.2
10042.00000000,-1931.0,-1669.0,4082.6
10043.00000000,-1934.4,-1672.5,4089.4
10044.00000000,-1938.1,-1676.1,4096.6
10045.00000000,-1941.9,-1679.9,4104.1
10046.00000000,-1945.9,-1683.8,4112.1
10047.00000000,-1950.1,-1688.0,4120.3
10048.00000000,-1954.5,-1692.3,4129.1
10049.00000000,-1959.1,-1696.8,4138.1
10050.00000000,-1963.9,-1701.5,4147.5
10051.00000000,-1968.9,-1706.3,4157.3
10052.00000000,-1974.1,-1711.3,4167.4
10053.00000000,-1979.5,-1716.5,4177.9
10054.00000000,-1985.0,-1721.8,4188.7
10055.00000000,-1990.7,-1727.3,4199.8
10056.00000000,-1996.6,-1732.9,4211.3
10057.00000000,-2002.7,-1738.8,4223.1
