time,ARROBS_HEAD_K:2_I:2_J:15,ARROBS_HEAD_K:2_I:2_J:9,ARROBS_HEAD_K:2_I:3_J:8,ARROBS_HEAD_K:2_I:9_J:1,ARROBS_HEAD_K:2_I:13_J:10,ARROBS_HEAD_K:2_I:15_J:16,ARROBS_HEAD_K:2_I:21_J:10,ARROBS_HEAD_K:2_I:22_J:15,ARROBS_HEAD_K:2_I:24_J:4,ARROBS_HEAD_K:2_I:26_J:6,ARROBS_HEAD_K:2_I:29_J:15,ARROBS_HEAD_K:2_I:33_J:7,ARROBS_HEAD_K:2_I:34_J:10,ARROBS_HEAD_K:0_I:2_J:15,ARROBS_HEAD_K:0_I:2_J:9,ARROBS_HEAD_K:0_I:3_J:8,ARROBS_HEAD_K:0_I:9_J:1,ARROBS_HEAD_K:0_I:13_J:10,ARROBS_HEAD_K:0_I:15_J:16,ARROBS_HEAD_K:0_I:21_J:10,ARROBS_HEAD_K:0_I:22_J:15,ARROBS_HEAD_K:0_I:24_J:4,ARROBS_HEAD_K:0_I:26_J:6,ARROBS_HEAD_K:0_I:29_J:15,ARROBS_HEAD_K:0_I:33_J:7,ARROBS_HEAD_K:0_I:34_J:10
0.1000000000000E-04,35.08947434,37.15381223,37.46962511,39.99725697,35.56067835,34.83432238,35.37862349,34.61175628,36.79365956,35.89346191,34.48488920,34.67187161,34.11313768,35.04065056,37.17341924,37.49214905,39.99795027,35.57118983,34.83517014,35.38821988,34.57918042,36.82222894,35.91198948,34.45804033,34.68808974,34.13078980
0.3000000000000E-04,35.09412008,37.12773119,37.43783489,40.00067640,35.55007329,34.83779873,35.36954128,34.61800911,36.75457410,35.87005913,34.48766290,34.65213452,34.09214670,35.04065180,37.17341749,37.49214688,39.99795083,35.57118939,34.83517045,35.38821955,34.57918137,36.82222648,35.91198822,34.45804107,34.68808904,34.13078922
0.7000000000000E-04,35.10114865,37.09378731,37.39668042,40.00510799,35.53640509,34.84224612,35.35767387,34.62664726,36.70533581,35.83979807,34.49172709,34.62615923,34.06539600,35.04065473,37.17341293,37.49214124,39.99795207,35.57118805,34.83517120,35.38821849,34.57918369,36.82221996,35.91198473,34.45804282,34.68808677,34.13078713
0.1500000000000E-03,35.11199915,37.06042297,37.35629925,40.00900305,35.52304034,34.84622869,35.34593397,34.63704859,36.65869924,35.81033077,34.49731324,34.60028360,34.03986313,35.04066183,37.17340041,37.49212587,39.99795494,35.57118396,34.83517312,35.38821514,34.57918956,36.82220199,35.91197466,34.45804702,34.68807951,34.13078015
0.3100000000000E-03,35.12935401,37.03754263,37.32828303,40.01003219,35.51359250,34.84808069,35.33758246,34.64885924,36.62802813,35.79040250,34.50494898,34.58210044,34.02320868,35.04067952,37.17336898,37.49208734,39.99796121,35.57117311,34.83517763,35.38820608,34.57920407,36.82215702,35.91194880,34.45805712,34.68805984,34.13076114
0.6300000000000E-03,35.15459282,37.02602533,37.31356965,40.00701354,35.50778861,34.84840527,35.33238581,34.66241056,36.61364062,35.78058537,34.51487571,34.57213058,34.01615511,35.04072428,37.17329893,37.49200135,39.99797329,35.57114812,34.83518714,35.38818504,34.57923867,36.82205749,35.91189076,34.45808120,34.68801448,34.13071801
0.1270000000000E-02,35.18479259,37.01918133,37.30459523,40.00064074,35.50254590,34.85009636,35.32750680,34.67748948,36.60612836,35.77524367,34.52589427,34.56505422,34.01257732,35.04083562,37.17315241,37.49182111,39.99799362,35.57109387,34.83520737,35.38813904,34.57931901,36.82185081,35.91176941,34.45813747,34.68791744,34.13062789
0.2550000000000E-02,35.21336042,37.01247680,37.29656601,39.99298391,35.49654614,34.85442924,35.32174612,34.69238930,36.59933681,35.77124405,34.53532936,34.55743809,33.98793055,35.04109871,37.17285043,37.49144985,39.99802433,35.57097719,34.83525359,35.38803917,34.57950063,36.82142835,35.91152114,34.45826341,34.68771270,34.13041511
0.5110000000000E-02,35.23348548,37.00634837,37.28990621,39.98691491,35.49139230,34.85935245,35.31675814,34.70399035,36.59331680,35.76861676,34.53972718,34.54843917,33.90703395,35.04167980,37.17223244,37.49069237,39.99806959,35.57073056,34.83535926,35.38782642,34.57989507,36.82057048,35.91101915,34.45852718,34.68727985,34.12977267
0.1023000000000E-01,35.24324028,37.00268623,37.28609571,39.98388115,35.48867951,34.86253469,35.31418422,34.71021168,36.58973004,35.76731289,34.53912731,34.53982853,33.85935274,35.04288814,37.17098681,37.48916932,39.99814304,35.57022595,34.83558683,35.38738975,34.58071282,36.81884930,35.91001564,34.45904805,34.68637292,34.12822990
0.2047000000000E-01,35.24654560,37.00124584,37.28453992,39.98281234,35.48778661,34.86382373,35.31336985,34.71238677,36.58823259,35.76676991,34.54011056,34.53924004,33.92500743,35.04530672,37.16851990,37.48615589,39.99827403,35.56922125,34.83605042,35.38651949,34.58234892,36.81544625,35.90803296,34.46008445,34.68457568,34.12588062
0.4095000000000E-01,35.24804249,37.00043173,37.28352498,39.98214941,35.48736306,34.86431865,35.31298764,34.71314587,36.58729118,35.76646288,34.54276207,34.54323934,33.99195804,35.05004001,37.16372337,37.48029899,39.99850423,35.56725852,34.83696543,35.38481781,34.58554563,36.80883536,35.90417855,34.46215187,34.68115947,34.12273101
0.8191000000000E-01,35.25013087,36.99918178,37.28189221,39.98104600,35.48671899,34.86484735,35.31239925,34.71398427,36.58582446,35.76602111,34.54370882,34.54418542,34.00968079,35.05907776,37.15465975,37.46923684,39.99885478,35.56351766,34.83872976,35.38156868,34.59162583,36.79636078,35.89689428,34.46608979,34.67471508,34.11749447
0.1638300000000,35.25421376,36.99679416,37.27877582,39.97883683,35.48548999,34.86586598,35.31127571,34.71563351,36.58304061,35.76519228,34.54356053,34.54269798,34.01207300,35.07562264,37.13840571,37.44941270,39.99917241,35.55669984,34.84201791,35.37562735,34.60266703,36.77404964,35.88383920,34.47310704,34.66295754,34.10823033
