time,HEADWATER,TAILWATER,GAGE_1
10000.00000000,-1163.7,-864.04,2500.0
10031.00000000,-1354.7,-1020.0,2840.9
10060.00000000,-1660.9,-1268.1,3386.5
10091.00000000,-2020.3,-1556.0,4024.2
10121.00000000,-2303.5,-1780.5,4524.6
10152.00000000,-2443.1,-1883.8,4764.7
10182.00000000,-2388.2,-1826.4,4655.9
10213.00000000,-2147.8,-1619.8,4217.1
10244.00000000,-1791.5,-1328.1,3578.9
10274.00000000,-1425.7,-1034.5,2929.0
10305.00000000,-1130.8,-804.14,2410.6
10335.00000000,-1000.3,-707.82,2186.2
10366.00000000,-1064.6,-766.65,2306.5
10397.00000000,-1300.6,-962.07,2730.8
10425.00000000,-1625.4,-1227.3,3311.5
10456.00000000,-2007.2,-1534.0,3989.8
10486.00000000,-2302.9,-1769.3,4513.1
10517.00000000,-2447.2,-1877.2,4762.5
10547.00000000,-2394.2,-1822.8,4658.4
10578.00000000,-2153.7,-1617.8,4220.8
10609.00000000,-1797.8,-1326.5,3583.7
10639.00000000,-1431.9,-1034.2,2935.0
10670.00000000,-1139.6,-806.70,2422.0
10700.00000000,-1011.1,-712.03,2201.0
10731.00000000,-1161.2,-840.15,2474.0
