time,ARROBS_HEAD_K:0_I:2_J:15,ARROBS_HEAD_K:0_I:2_J:9,ARROBS_HEAD_K:0_I:3_J:8,ARROBS_HEAD_K:0_I:9_J:1,ARROBS_HEAD_K:0_I:13_J:10,ARROBS_HEAD_K:0_I:15_J:16,ARROBS_HEAD_K:0_I:21_J:10,ARROBS_HEAD_K:0_I:22_J:15,ARROBS_HEAD_K:0_I:24_J:4,ARROBS_HEAD_K:0_I:26_J:6,ARROBS_HEAD_K:0_I:29_J:15,ARROBS_HEAD_K:0_I:33_J:7,ARROBS_HEAD_K:0_I:34_J:10
0.1000000000000E-04,35.06054087,37.17211981,37.49117945,39.99667995,35.56962997,34.83385977,35.38660003,34.59128010,36.82087999,35.91047003,34.46862997,34.68649990,34.12906987
0.3000000000000E-04,35.06054262,37.17211942,37.49117834,39.99667986,35.56962991,34.83385932,35.38660008,34.59128029,36.82087998,35.91047008,34.46862991,34.68649971,34.12906961
0.7000000000000E-04,35.06054610,37.17211865,37.49117612,39.99667967,35.56962979,34.83385842,35.38660020,34.59128068,36.82087996,35.91047018,34.46862980,34.68649933,34.12906909
0.1500000000000E-03,35.06055308,37.17211710,37.49117170,39.99667930,35.56962955,34.83385661,35.38660042,34.59128147,36.82087992,35.91047039,34.46862956,34.68649856,34.12906804
0.3100000000000E-03,35.06056702,37.17211401,37.49116285,39.99667855,35.56962906,34.83385300,35.38660087,34.59128303,36.82087984,35.91047080,34.46862910,34.68649702,34.12906595
0.6300000000000E-03,35.06059489,37.17210783,37.49114516,39.99667704,35.56962810,34.83384578,35.38660177,34.59128616,36.82087968,35.91047163,34.46862817,34.68649394,34.12906177
0.1270000000000E-02,35.06065057,37.17209551,37.49110986,39.99667402,35.56962616,34.83383136,35.38660355,34.59129239,36.82087933,35.91047326,34.46862630,34.68648778,34.12905342
0.2550000000000E-02,35.06076170,37.17207101,37.49103954,39.99666793,35.56962229,34.83380257,35.38660708,34.59130479,36.82087859,35.91047648,34.46862253,34.68647546,34.12903674
0.5110000000000E-02,35.06098299,37.17202254,37.49089998,39.99665556,35.56961450,34.83374523,35.38661400,34.59132936,36.82087690,35.91048271,34.46861491,34.68645080,34.12900344
0.1023000000000E-01,35.06142179,37.17192769,37.49062517,39.99663005,35.56959880,34.83363145,35.38662729,34.59137753,36.82087273,35.91049439,34.46859929,34.68640139,34.12893714
0.2047000000000E-01,35.06228453,37.17174600,37.49009212,39.99657605,35.56956690,34.83340748,35.38665175,34.59147007,36.82086136,35.91051469,34.46856659,34.68630228,34.12880578
0.4095000000000E-01,35.06395298,37.17141213,37.48908767,39.99645677,35.56950107,34.83297319,35.38669267,34.59164076,36.82082745,35.91054405,34.46849547,34.68610300,34.12854859
0.8191000000000E-01,35.06707886,37.17084476,37.48729347,39.99617782,35.56936132,34.83215431,35.38674590,34.59192991,36.82072154,35.91056425,34.46833195,34.68570118,34.12805891
0.1638300000000,35.07260294,37.17000667,37.48436971,39.99548807,35.56905048,34.83068308,35.38675962,34.59233844,36.82039604,35.91049169,34.46793085,34.68489012,34.12718676
0.3276700000000,35.08142993,37.16901844,37.48021986,39.99373990,35.56831876,34.82822127,35.38652999,34.59270952,36.81946876,35.91010533,34.46690507,34.68326279,34.12584513
0.6553500000000,35.09349090,37.16811129,37.47521043,39.98942342,35.56655260,34.82438740,35.38550726,34.59265618,36.81709901,35.90912460,34.46433284,34.68006195,34.12428631
1.310710000000,35.10681407,37.16705423,37.46970409,39.97944767,35.56254655,34.81848994,35.38260045,34.59178106,36.81163718,35.90775284,34.45843486,34.67406816,34.12299560
2.621430000000,35.11810611,37.16428393,37.46273251,39.95803785,35.55464867,34.80893025,35.37621072,34.58945066,36.80016191,35.90700207,34.44646005,34.66431271,34.12019740
5.242870000000,35.12423372,37.15617297,37.45014878,39.91449482,35.54099589,34.79344935,35.36420626,34.58311049,36.77823214,35.90631816,34.42431481,34.65369764,34.11116487
10.48575000000,35.12245759,37.13510539,37.42210793,39.82894090,35.51867819,34.76979977,35.34229175,34.56718382,36.73882811,35.89804450,34.38700357,34.65610607,34.11707451
20.97151000000,35.10913972,37.08366079,37.35865825,39.66741472,35.48137338,34.73499174,35.30143302,34.53488274,36.66852230,35.86614314,34.33945394,34.69916991,34.19490853
41.94303000000,35.07566406,36.96784472,37.22432018,39.37978923,35.41587584,34.68525816,35.23119452,34.48480354,36.54869844,35.79848580,34.30278994,34.79121214,34.33972577
83.88607000000,35.00636054,36.74450367,36.97481116,38.91013241,35.30552775,34.61905864,35.13107688,34.42652922,36.36618413,35.69194319,34.28430972,34.87585328,34.46229841
167.7721500000,34.89244896,36.39831929,36.59457552,38.24407259,35.14707256,34.53881735,35.00614976,34.36616494,36.11252541,35.53307459,34.26164174,34.87717939,34.49382418
267.7721500000,34.79443450,36.10706984,36.27628945,37.69984751,35.01706727,34.47710841,34.90367490,34.32007499,35.89274004,35.38371971,34.23306251,34.81911825,34.46247842
367.7721500000,34.72558854,35.90348040,36.05403026,37.32107926,34.92623194,34.43439433,34.82857991,34.28657376,35.72956083,35.26734261,34.20722622,34.75732644,34.42221109
467.7721500000,34.67757440,35.76135092,35.89884817,37.05520850,34.86210747,34.40418024,34.77269234,34.26165261,35.60794847,35.17815254,34.18619121,34.70493727,34.38680890
567.7721500000,34.64413135,35.66185576,35.79014352,36.86749266,34.81695185,34.38303432,34.73171228,34.24356771,35.51802961,35.11123220,34.17038349,34.66405136,34.35914891
667.7721500000,34.62059560,35.59190249,35.71367212,36.73397180,34.78454566,34.36737249,34.70131731,34.22984008,35.45219572,35.06179148,34.15796502,34.63316033,34.33769602
767.7721500000,34.60400268,35.54238621,35.65953011,36.63897804,34.76156549,34.35644672,34.67929614,34.22004212,35.40400977,35.02539988,34.14904875,34.61019389,34.32196937
867.7721500000,34.59220490,35.50725163,35.62118220,36.57132121,34.74516655,34.34859145,34.66327729,34.21286757,35.36908237,34.99903731,34.14239602,34.59354461,34.31035619
967.7721500000,34.58394838,35.48254432,35.59404454,36.52268700,34.73327670,34.34268640,34.65151298,34.20750869,35.34374933,34.97964361,34.13743889,34.58093667,34.30160547
1067.772150000,34.57807523,35.46476159,35.57457620,36.48786764,34.72495051,34.33872488,34.64317251,34.20382407,35.32530382,34.96564124,34.13402329,34.57199358,34.29548588
1167.772150000,34.57381228,35.45218478,35.56080596,36.46282820,34.71884072,34.33573395,34.63704264,34.20104156,35.31205173,34.95552599,34.13141444,34.56544666,34.29092474
1267.772150000,34.57083296,35.44301356,35.55076409,36.44513530,34.71454556,34.33369635,34.63264583,34.19914183,35.30239938,34.94815682,34.12964603,34.56070408,34.28763866
1367.772150000,34.56872880,35.43662803,35.54374646,36.43217018,34.71147041,34.33217667,34.62952287,34.19772910,35.29554310,34.94294123,34.12832115,34.55731835,34.28528953
1467.772150000,34.56718333,35.43198585,35.53866410,36.42308185,34.70922434,34.33103565,34.62722159,34.19666006,35.29058886,34.93914070,34.12730654,34.55483830,34.28354775
1567.772150000,34.56607485,35.42870743,35.53505624,36.41639312,34.70759817,34.33024446,34.62557153,34.19593679,35.28701028,34.93638541,34.12663571,34.55303121,34.28230035
1667.772150000,34.56525231,35.42635690,35.53248418,36.41156374,34.70641569,34.32966832,34.62437622,34.19538649,35.28444322,34.93441500,34.12611295,34.55174210,34.28140886
1767.772150000,34.56466484,35.42465118,35.53063360,36.40806568,34.70556761,34.32925142,34.62351393,34.19498395,35.28259222,34.93301592,34.12573240,34.55083133,34.28077119
