time,HEADWATER,TAILWATER,GAGE_1
0.1000000000000E-04,-2246.8,-1209.4,4099.1
0.3000000000000E-04,-2246.8,-1209.3,4099.1
0.7000000000000E-04,-2246.8,-1209.3,4099.1
0.1500000000000E-03,-2246.8,-1209.2,4099.0
0.3100000000000E-03,-2246.8,-1209.0,4098.8
0.6300000000000E-03,-2246.8,-1207.8,4097.6
0.1270000000000E-02,-2246.9,-1206.2,4096.1
0.2550000000000E-02,-2247.0,-1203.1,4093.0
0.5110000000000E-02,-2247.2,-1196.9,4087.0
0.1023000000000E-01,-2247.5,-1184.7,4075.2
0.2047000000000E-01,-2248.3,-1161.1,4052.3
0.4095000000000E-01,-2249.8,-1117.2,4009.7
0.8191000000000E-01,-2252.6,-1040.2,3935.3
0.1638300000000,-2257.6,-1024.3,3924.5
0.3276700000000,-2265.9,-990.15,3898.5
0.6553500000000,-2277.8,-926.67,3846.8
1.310710000000,-2291.6,-837.64,3771.4
2.621430000000,-2303.9,-749.05,3694.8
5.242870000000,-2308.2,-699.97,3649.9
10.48575000000,-2295.2,-759.87,3690.8
20.97151000000,-2251.8,-979.28,3756.6
41.94303000000,-2162.1,-1083.6,3731.8
50.33163800000,-2124.6,-1103.4,3706.8
53.68708120000,-2109.6,-1109.7,3695.9
60.39796760000,-2081.9,-1119.3,3674.9
63.08232216000,-2070.7,-1122.2,3665.6
68.45103128000,-2049.4,-1127.0,3647.6
79.18844952000,-2008.7,-1132.9,3610.9
80.04744297920,-2008.2,-1132.2,3609.8
81.76542989760,-1998.5,-1133.4,3600.8
85.20140373440,-1985.9,-1134.6,3588.9
92.07335140800,-1961.3,-1136.0,3565.0
105.8172467552,-1915.4,-1135.8,3518.0
133.3050374496,-1834.4,-1128.1,3428.6
144.3001537274,-1802.2,-1122.0,3390.1
166.2903862829,-1746.0,-1111.4,3323.2
210.2708513939,-1652.0,-1086.7,3204.8
210.9745388357,-1650.2,-1083.9,3200.4
212.3819137192,-1648.7,-1083.5,3198.5
212.9448636727,-1645.7,-1082.6,3194.6
213.1700436540,-1644.5,-1082.3,3193.1
213.6204036168,-1644.0,-1082.1,3192.5
214.5211235423,-1643.1,-1081.9,3191.2
214.8814115124,-1641.2,-1081.3,3188.8
215.0255267005,-1640.4,-1081.1,3187.8
215.3137570767,-1640.1,-1081.0,3187.4
215.8902178290,-1639.5,-1080.8,3186.6
217.0431393336,-1638.3,-1080.5,3185.1
217.5043079354,-1635.9,-1079.8,3182.0
218.4266451391,-1634.9,-1079.5,3180.7
220.2713195465,-1629.2,-1077.8,3173.3
223.9606683612,-1621.7,-1075.6,3163.7
231.3393659907,-1607.3,-1071.2,3144.9
234.2908450425,-1601.5,-1069.2,3137.2
235.4714366632,-1601.4,-1069.2,3137.1
237.8326199046,-1594.7,-1067.0,3128.1
242.5549863875,-1585.8,-1064.1,3116.5
251.9997193533,-1569.0,-1058.4,3094.1
270.8891852847,-1537.9,-1047.5,3052.3
278.4449716573,-1525.3,-1042.3,3034.6
278.5658642393,-1525.2,-1042.2,3034.4
278.8076494032,-1525.0,-1042.1,3034.1
279.2912197311,-1524.6,-1042.0,3033.6
280.2583603868,-1523.8,-1041.7,3032.5
282.1926416981,-1522.2,-1041.1,3030.4
286.0612043209,-1513.2,-1037.6,3018.0
287.6086293700,-1513.1,-1037.6,3017.9
288.2275993896,-1510.7,-1036.7,3014.6
289.4655394289,-1509.8,-1036.3,3013.2
291.9414195075,-1504.1,-1034.1,3005.4
292.9317715389,-1504.1,-1034.1,3005.3
294.9124756018,-1502.6,-1033.5,3003.3
295.7047572269,-1499.6,-1032.3,2999.2
297.2893204772,-1498.4,-1031.8,2997.5
297.4160855372,-1496.0,-1030.9,2994.2
297.6696156573,-1495.8,-1030.8,2994.0
298.1766758974,-1495.4,-1030.7,2993.4
299.1907963776,-1494.7,-1030.4,2992.4
299.5964445696,-1493.2,-1029.8,2990.3
