time,HEADWATER,TAILWATER,GAGE_1
1.000000000000,-1015.9,-722.00,1814.4
32.00000000000,-1206.0,-867.07,2199.5
61.00000000000,-1520.3,-1099.6,2749.1
92.00000000000,-1895.8,-1372.6,3380.4
122.0000000000,-2197.4,-1580.5,3858.7
153.0000000000,-2356.5,-1674.3,4075.3
183.0000000000,-2314.7,-1619.5,3948.0
214.0000000000,-2075.2,-1421.0,3493.9
245.0000000000,-1709.5,-1140.2,2850.9
275.0000000000,-1325.0,-857.65,2205.8
306.0000000000,-1005.6,-638.00,1701.2
336.0000000000,-848.38,-544.15,1487.2
367.0000000000,-893.35,-598.84,1616.0
398.0000000000,-1122.6,-784.66,2043.6
426.0000000000,-1450.5,-1038.1,2617.6
457.0000000000,-1845.1,-1329.1,3276.6
487.0000000000,-2158.7,-1548.6,3772.4
518.0000000000,-2323.9,-1648.8,4000.5
548.0000000000,-2284.8,-1597.2,3883.1
579.0000000000,-2048.0,-1401.6,3442.7
610.0000000000,-1684.5,-1123.2,2813.8
640.0000000000,-1303.8,-844.10,2184.1
671.0000000000,-989.43,-628.12,1692.6
701.0000000000,-837.54,-538.03,1487.3
732.0000000000,-972.13,-659.32,1764.7
