time,TRGW_2_2_15,TRGW_2_2_9,TRGW_2_3_8,TRGW_2_9_1,TRGW_2_13_10,TRGW_2_15_16,TRGW_2_21_10,TRGW_2_22_15,TRGW_2_24_4,TRGW_2_26_6,TRGW_2_29_15,TRGW_2_33_7,TRGW_2_34_10,TRGW_0_2_15,TRGW_0_2_9,TRGW_0_3_8,TRGW_0_9_1,TRGW_0_13_10,TRGW_0_15_16,TRGW_0_21_10,TRGW_0_22_15,TRGW_0_24_4,TRGW_0_26_6,TRGW_0_29_15,TRGW_0_33_7,TRGW_0_34_10
1.000000000000,34.408,34.726,34.765,35.106,34.352,34.198,34.237,34.082,34.459,34.293,33.993,34.060,33.941,34.349,34.732,34.771,35.112,34.358,34.203,34.243,34.039,34.465,34.299,33.951,34.065,33.947
32.00000000000,34.490,34.828,34.869,35.212,34.477,34.305,34.366,34.191,34.588,34.438,34.087,34.179,34.059,34.420,34.834,34.875,35.218,34.482,34.311,34.372,34.133,34.593,34.442,34.033,34.184,34.064
61.00000000000,34.563,34.929,34.973,35.327,34.580,34.390,34.474,34.272,34.711,34.557,34.162,34.275,34.140,34.483,34.936,34.979,35.333,34.586,34.397,34.480,34.204,34.716,34.562,34.099,34.281,34.147
92.00000000000,34.608,35.003,35.050,35.428,34.637,34.433,34.533,34.311,34.794,34.626,34.200,34.326,34.176,34.521,35.010,35.057,35.434,34.644,34.440,34.540,34.237,34.801,34.633,34.132,34.333,34.184
122.0000000000,34.606,35.017,35.066,35.468,34.624,34.416,34.519,34.293,34.802,34.615,34.186,34.310,34.151,34.519,35.024,35.073,35.475,34.632,34.424,34.527,34.222,34.809,34.623,34.119,34.318,34.160
153.0000000000,34.555,34.964,35.014,35.435,34.542,34.342,34.432,34.218,34.726,34.524,34.119,34.229,34.071,34.475,34.971,35.021,35.442,34.550,34.349,34.440,34.157,34.734,34.532,34.062,34.237,34.079
183.0000000000,34.471,34.859,34.907,35.335,34.415,34.234,34.300,34.112,34.591,34.380,34.023,34.109,33.960,34.402,34.866,34.915,35.342,34.423,34.241,34.307,34.065,34.599,34.388,33.978,34.116,33.968
214.0000000000,34.372,34.725,34.770,35.186,34.274,34.117,34.151,33.997,34.424,34.215,33.918,33.976,33.845,34.317,34.731,34.776,35.194,34.280,34.123,34.158,33.966,34.432,34.222,33.886,33.982,33.851
245.0000000000,34.288,34.600,34.641,35.033,34.157,34.024,34.030,33.907,34.275,34.075,33.835,33.869,33.756,34.245,34.606,34.647,35.040,34.163,34.028,34.036,33.888,34.281,34.082,33.814,33.874,33.761
275.0000000000,34.240,34.520,34.557,34.918,34.094,33.976,33.964,33.862,34.180,33.995,33.794,33.812,33.714,34.205,34.526,34.563,34.925,34.099,33.981,33.969,33.849,34.186,34.000,33.778,33.817,33.719
306.0000000000,34.241,34.502,34.536,34.866,34.101,33.989,33.971,33.877,34.163,33.995,33.807,33.822,33.733,34.206,34.507,34.541,34.872,34.105,33.993,33.975,33.862,34.168,33.999,33.789,33.826,33.737
336.0000000000,34.289,34.550,34.583,34.890,34.178,34.059,34.051,33.947,34.229,34.077,33.870,33.897,33.809,34.248,34.555,34.588,34.896,34.182,34.063,34.055,33.923,34.234,34.081,33.844,33.901,33.813
367.0000000000,34.373,34.653,34.687,34.985,34.307,34.170,34.186,34.057,34.364,34.224,33.969,34.019,33.924,34.320,34.659,34.693,34.991,34.311,34.175,34.190,34.018,34.368,34.228,33.931,34.024,33.928
398.0000000000,34.468,34.779,34.816,35.119,34.447,34.287,34.334,34.172,34.526,34.389,34.072,34.152,34.041,34.401,34.785,34.822,35.125,34.452,34.292,34.339,34.117,34.530,34.393,34.020,34.157,34.046
426.0000000000,34.539,34.881,34.921,35.240,34.551,34.371,34.443,34.253,34.655,34.514,34.146,34.248,34.122,34.462,34.887,34.928,35.246,34.557,34.377,34.449,34.187,34.661,34.519,34.084,34.254,34.129
457.0000000000,34.576,34.947,34.990,35.335,34.604,34.409,34.500,34.289,34.738,34.583,34.178,34.296,34.155,34.494,34.953,34.997,35.341,34.611,34.416,34.507,34.219,34.744,34.590,34.113,34.303,34.162
487.0000000000,34.564,34.947,34.993,35.361,34.582,34.385,34.478,34.265,34.737,34.566,34.157,34.273,34.125,34.483,34.954,34.999,35.367,34.589,34.392,34.486,34.197,34.744,34.574,34.094,34.280,34.132
518.0000000000,34.505,34.880,34.926,35.312,34.490,34.304,34.383,34.184,34.651,34.465,34.085,34.185,34.038,34.431,34.887,34.933,35.319,34.498,34.310,34.390,34.127,34.658,34.473,34.031,34.192,34.045
