obsnme,obsval,weight,obgnme,extra
gage_1_20151231,3890.8,0.0,gage,
gage_1_20160131,3432.1,0.0043570137028,gage,
gage_1_20160229,3557.5,0.0035933092582,gage,
gage_1_20160331,5242.2,0.0034957090172,gage,
gage_1_20160430,5182.6,0.0038145372013,gage,
gage_1_20160531,5307.2,0.004575926053,gage,
gage_1_20160630,4256.0,0.0065902201134,gage,
gage_1_20160731,3283.1,0.0099806375631,gage,
gage_1_20160831,2067.0,0.017123434276,gage,
gage_1_20160930,907.05,0.026124325666,gage,
gage_1_20161031,111.16,0.022379625589,gage,
gage_1_20161130,44.495,0.014472617807,gage,
gage_1_20161231,462.24,0.007512329611,gage,
gage_1_20170131,1414.6,0.0,gage,
gage_1_20170228,2179.7,0.0,gage,
gage_1_20170331,3092.0,0.0,gage,
gage_1_20170430,3604.5,0.0,gage,
gage_1_20170531,3410.8,0.0,gage,
gage_1_20170630,3135.4,0.0,gage,
gage_1_20170731,2919.0,0.0,gage,
gage_1_20170831,1874.6,0.0,gage,
gage_1_20170930,846.89,0.0,gage,
gage_1_20171031,191.19,0.0,gage,
gage_1_20171130,13.882,0.0,gage,
gage_1_20171231,913.8,0.0,gage,
headwater_20151231,-1792.9,0.0,headwater,
headwater_20160131,-1544.3,0.0,headwater,
headwater_20160229,-1612.2,0.0,headwater,
headwater_20160331,-2534.3,0.0,headwater,
headwater_20160430,-2520.6,0.0,headwater,
headwater_20160531,-2589.2,0.0,headwater,
headwater_20160630,-2026.2,0.0,headwater,
headwater_20160731,-1485.9,0.0,headwater,
headwater_20160831,-831.1,0.0,headwater,
headwater_20160930,-219.52,0.0,headwater,
headwater_20161031,206.25,0.0,headwater,
headwater_20161130,263.14,0.0,headwater,
headwater_20161231,45.505,0.0,headwater,
headwater_20170131,-448.73,0.0,headwater,
headwater_20170228,-865.84,0.0,headwater,
headwater_20170331,-1350.8,0.0,headwater,
headwater_20170430,-1645.8,0.0,headwater,
headwater_20170531,-1547.6,0.0,headwater,
headwater_20170630,-1408.0,0.0,headwater,
headwater_20170731,-1276.3,0.0,headwater,
headwater_20170831,-724.4,0.0,headwater,
headwater_20170930,-181.57,0.0,headwater,
headwater_20171031,175.61,0.0,headwater,
headwater_20171130,279.09,0.0,headwater,
headwater_20171231,-393.54,0.0,headwater,
in_ghb_flx_20151231,0.0,0.0,in_ghb,
in_ghb_flx_20160131,0.0,0.0,in_ghb,
in_ghb_flx_20160229,0.0,0.0,in_ghb,
in_ghb_flx_20160331,0.0,0.0,in_ghb,
in_ghb_flx_20160430,0.0,0.0,in_ghb,
in_ghb_flx_20160531,0.0,0.0,in_ghb,
in_ghb_flx_20160630,0.0,0.0,in_ghb,
in_ghb_flx_20160731,0.0,0.0,in_ghb,
in_ghb_flx_20160831,0.0,0.0,in_ghb,
in_ghb_flx_20160930,0.0,0.0,in_ghb,
in_ghb_flx_20161031,0.0,0.0,in_ghb,
in_ghb_flx_20161130,0.0,0.0,in_ghb,
in_ghb_flx_20161231,0.0,0.0,in_ghb,
in_ghb_flx_20170131,0.0,0.0,in_ghb,
in_ghb_flx_20170228,0.0,0.0,in_ghb,
in_ghb_flx_20170331,0.0,0.0,in_ghb,
in_ghb_flx_20170430,0.0,0.0,in_ghb,
