time,HEADWATER,TAILWATER,GAGE_1
1.000000000000,-772.88,-548.87,1404.6
32.00000000000,-987.91,-700.40,1821.4
61.00000000000,-1158.0,-830.19,2127.7
92.00000000000,-1244.3,-894.08,2267.6
122.0000000000,-1213.4,-868.65,2187.2
153.0000000000,-1070.4,-758.25,1903.1
183.0000000000,-860.09,-598.83,1504.7
214.0000000000,-630.39,-428.17,1086.3
245.0000000000,-445.85,-295.03,766.51
275.0000000000,-349.56,-229.90,619.78
306.0000000000,-367.18,-245.10,680.07
336.0000000000,-497.53,-343.79,941.12
367.0000000000,-712.63,-504.18,1343.5
398.0000000000,-945.59,-678.05,1764.4
426.0000000000,-1114.1,-803.51,2055.8
457.0000000000,-1192.6,-859.45,2171.5
487.0000000000,-1146.9,-822.81,2059.8
518.0000000000,-988.17,-702.97,1749.8
548.0000000000,-770.01,-541.07,1345.3
579.0000000000,-547.35,-379.31,950.49
610.0000000000,-390.63,-268.18,689.36
640.0000000000,-347.07,-237.85,637.51
671.0000000000,-419.67,-291.40,794.71
701.0000000000,-595.47,-421.31,1131.1
732.0000000000,-828.07,-594.15,1557.9
